tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=52.3													
542	42.9		9.9		4.3		424.9		800		25.0		52.3
load=54.6													
2041	43.4		9.9		4.4		429.9		800		25.0		54.6
load=56.9													
2552	43.2		9.9		4.4		429.4		800		25.0		56.9
load=59.2													
3063	42.9		9.9		4.3		425.5		800		25.0		59.2
load=61.5													
3574	43.1		9.9		4.3		427.3		800		25.0		61.5
load=63.9													
4085	42.6		9.9		4.3		422.3		800		25.0		63.9
load=66.3													
4596	42.5		9.9		4.3		421.2		800		25.0		66.3
load=68.4													
5107	43.6		9.9		4.4		432.3		800		25.0		68.4
load=70.5													
5618	43.4		9.9		4.4		429.3		800		25.0		70.5
load=73.5													
6129	42.1		9.9		4.2		417.4		800		25.0		73.5
load=75.5													
6640	43.4		9.9		4.4		429.9		800		25.0		75.5
load=77.6													
7151	43.2		9.9		4.4		429.1		800		25.0		77.6
load=79.4													
7662	43.4		9.9		4.4		429.9		800		25.0		79.4
load=81.2													
8173	43.5		9.9		4.4		431.7		800		25.0		81.2
load=82.7													
8684	43.8		9.9		4.4		433.9		800		25.0		82.7
load=83.7													
9195	41.9		9.9		4.2		415.4		800		25.0		83.7
load=85.3													
9706	43.2		9.9		4.4		428.6		800		25.0		85.3
load=82.8													
10217	42.9		9.9		4.3		426.8		800		25.0		82.8
load=83.9													
10728	43.4		9.9		4.4		429.6		800		25.0		83.9
load=85.3													
11239	43.4		9.9		4.4		430.2		800		25.0		85.3
load=86.5													
11750	43.5		9.9		4.4		431.7		800		25.0		86.5
load=87.5													
12261	43.5		9.9		4.4		431.0		800		25.0		87.5
load=89.2													
12772	43.2		9.9		4.4		427.8		800		25.0		89.2
load=90.7													
13283	43.5		9.9		4.4		431.7		800		25.0		90.7
load=91.7													
13794	42.6		9.9		4.3		423.6		800		25.0		91.7
load=92.8													
14305	42.9		9.9		4.3		425.8		800		25.0		92.8
load=93.9													
14816	41.9		9.9		4.2		416.3		800		25.0		93.9
load=95.0													
15327	43.5		9.9		4.4		431.3		800		25.0		95.0
load=95.0													
15838	43.2		9.9		4.4		429.1		800		25.0		95.0
load=95.0													
16349	43.5		9.9		4.4		432.3		800		25.0		95.0
load=95.0													
16860	43.4		9.9		4.4		429.9		800		25.0		95.0
load=95.0													
