tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=51.0													
539	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
2039	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
2548	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
3057	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
3566	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
4075	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
4584	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
5093	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
5602	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
6111	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
6620	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
7129	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
7638	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
8147	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
8656	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
9165	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
9674	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
10183	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
10692	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
11201	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
11710	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
12219	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
12728	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
13237	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
13746	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
14255	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
14764	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
15273	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
15782	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
16291	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
16800	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
17309	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
17818	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
18327	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
18836	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
19345	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
19854	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
20363	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
20872	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
21381	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
21890	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
22399	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
22908	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
23417	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
23926	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
24435	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
24944	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
25453	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
25962	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
26471	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
26980	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
27489	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
27998	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
28507	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
29016	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
29525	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
30034	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
30543	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
31052	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
31561	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
32070	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
32579	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
33088	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
33597	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
34106	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
34615	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
35124	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
35633	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
36142	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
36651	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
37160	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
37669	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
38178	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
38687	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
39196	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
39705	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
40214	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
40723	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
41232	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
41741	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
42250	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
42759	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
43268	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
43777	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
44286	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
44795	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
45304	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
45813	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
46322	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
46831	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
47340	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
47849	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
48358	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
48867	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
49376	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
49885	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
50394	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
50903	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
51412	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
51921	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
52430	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
52939	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
53448	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
53957	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
54466	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
54975	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
55484	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
55993	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
56502	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
57011	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
57520	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
58029	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
58538	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
59047	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
59556	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
60065	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
60574	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
61083	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
61592	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
62101	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
62610	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
63119	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
63628	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
64137	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
64646	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
65155	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
65664	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
66173	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
66682	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
67191	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
67700	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
68209	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
68718	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
69227	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
69736	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
70245	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
70754	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
71263	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
71772	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
72281	41.32		10.37		4.0		428.3		800		25.0		51.0
load=51.0													
72790	41.32		10.37		4.0		428.3		800		25.0		51.0
