tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=52.5													
540	41.5		10.4		4.0		429.8		800		25.0		52.5
load=55.0													
2043	41.6		10.4		4.0		431.7		800		25.0		55.0
load=57.5													
2552	41.6		10.4		4.0		432.0		800		25.0		57.5
load=60.0													
3060	41.5		10.4		4.0		430.1		800		25.0		60.0
load=62.5													
3568	41.6		10.4		4.0		432.0		800		25.0		62.5
load=65.0													
4076	41.5		10.4		4.0		429.8		800		25.0		65.0
load=67.5													
4584	41.5		10.4		4.0		430.1		800		25.0		67.5
load=70.0													
5092	41.6		10.4		4.0		431.7		800		25.0		70.0
load=72.4													
5600	41.6		10.4		4.0		431.4		800		25.0		72.4
load=75.2													
6108	41.3		10.4		4.0		428.9		800		25.0		75.2
load=77.5													
6616	41.6		10.4		4.0		431.7		800		25.0		77.5
load=80.0													
7124	41.6		10.4		4.0		432.0		800		25.0		80.0
load=82.4													
7632	41.6		10.4		4.0		432.0		800		25.0		82.4
load=84.6													
8140	41.6		10.4		4.0		431.4		800		25.0		84.6
load=86.9													
8648	41.6		10.4		4.0		431.4		800		25.0		86.9
load=84.7													
9156	41.3		10.4		4.0		428.6		800		25.0		84.7
load=86.7													
9664	41.6		10.4		4.0		431.7		800		25.0		86.7
load=88.4													
10172	41.8		10.4		4.0		433.2		800		25.0		88.4
load=90.8													
10680	41.6		10.4		4.0		431.7		800		25.0		90.8
load=93.5													
11188	41.6		10.4		4.0		432.0		800		25.0		93.5
load=94.5													
11696	41.5		10.4		4.0		430.1		800		25.0		94.5
load=95.0													
12204	41.5		10.4		4.0		430.1		800		25.0		95.0
load=95.0													
12712	41.8		10.4		4.0		433.5		800		25.0		95.0
load=95.0													
13220	41.5		10.4		4.0		430.4		800		25.0		95.0
load=95.0													
13728	42.1		10.4		4.1		436.2		800		25.0		95.0
load=95.0													
14236	41.6		10.4		4.0		431.4		800		25.0		95.0
load=95.0													
14744	41.8		10.4		4.0		433.2		800		25.0		95.0
load=95.0													
15252	41.6		10.4		4.0		431.7		800		25.0		95.0
load=95.0													
15760	41.8		10.4		4.0		433.2		800		25.0		95.0
load=95.0													
16268	41.8		10.4		4.0		433.2		800		25.0		95.0
load=95.0													
16776	41.9		10.4		4.0		435.0		800		25.0		95.0
load=95.0													
17284	41.6		10.4		4.0		431.4		800		25.0		95.0
load=95.0													
17792	41.5		10.4		4.0		430.8		800		25.0		95.0
load=95.0													
18300	41.6		10.4		4.0		432.6		800		25.0		95.0
load=95.0													
18808	41.3		10.4		4.0		428.6		800		25.0		95.0
load=95.0													
19316	41.5		10.4		4.0		430.4		800		25.0		95.0
load=95.0													
19824	41.5		10.4		4.0		430.1		800		25.0		95.0
load=95.0													
20332	41.5		10.4		4.0		429.8		800		25.0		95.0
load=95.0													
20840	41.5		10.4		4.0		429.8		800		25.0		95.0
load=95.0													
21348	41.5		10.4		4.0		430.1		800		25.0		95.0
load=95.0													
21856	41.6		10.4		4.0		432.0		800		25.0		95.0
load=95.0													
22364	41.5		10.4		4.0		430.1		800		25.0		95.0
load=95.0													
22872	41.8		10.4		4.0		432.6		800		25.0		95.0
load=95.0													
23380	41.9		10.4		4.0		434.7		800		25.0		95.0
load=95.0													
23888	41.6		10.4		4.0		432.0		800		25.0		95.0
load=95.0													
24396	41.6		10.4		4.0		431.7		800		25.0		95.0
load=95.0													
24904	41.6		10.4		4.0		432.0		800		25.0		95.0
load=95.0													
25412	41.8		10.4		4.0		433.8		800		25.0		95.0
load=95.0													
25920	41.6		10.4		4.0		431.7		800		25.0		95.0
load=95.0													
26428	41.6		10.4		4.0		431.7		800		25.0		95.0
load=95.0													
