tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]
49285	41.5		10.4		4.0		430.1		800		25.0		56.0
49793	41.5		10.4		4.0		429.8		800		25.0		55.5
50301	41.0		10.4		4.0		425.6		800		25.0		56.0
50809	41.6		10.4		4.0		431.1		800		25.0		56.5
51317	41.6		10.4		4.0		431.4		800		25.0		57.0
51825	41.6		10.4		4.0		431.7		800		25.0		57.5
52333	41.3		10.4		4.0		428.6		800		25.0		57.0
52841	41.5		10.4		4.0		430.1		800		25.0		56.5
53349	41.3		10.4		4.0		428.3		800		25.0		57.0
53857	41.5		10.4		4.0		430.8		800		25.0		57.5
54365	41.6		10.4		4.0		431.4		800		25.0		58.0
54873	41.5		10.4		4.0		430.4		800		25.0		57.5
55381	41.3		10.4		4.0		428.6		800		25.0		58.0
55889	41.2		10.4		4.0		427.4		800		25.0		57.5
56397	41.3		10.4		4.0		428.3		800		25.0		57.0
56905	41.5		10.4		4.0		429.8		800		25.0		56.5
57413	41.5		10.4		4.0		430.4		800		25.0		56.0
57921	41.3		10.4		4.0		427.7		800		25.0		56.5
58429	41.2		10.4		4.0		427.1		800		25.0		56.0
58937	41.5		10.4		4.0		429.8		800		25.0		55.5
59445	41.5		10.4		4.0		430.1		800		25.0		55.0
59953	41.3		10.4		4.0		428.6		800		25.0		55.5
60461	41.6		10.4		4.0		431.7		800		25.0		56.0
60969	41.5		10.4		4.0		429.8		800		25.0		55.5
61477	41.5		10.4		4.0		429.8		800		25.0		55.0
61985	41.6		10.4		4.0		431.4		800		25.0		54.5
62493	41.3		10.4		4.0		428.3		800		25.0		55.0
63001	41.3		10.4		4.0		428.9		800		25.0		55.5
63509	41.2		10.4		4.0		426.8		800		25.0		55.0
64017	41.5		10.4		4.0		429.8		800		25.0		54.5
64525	41.3		10.4		4.0		428.9		800		25.0		55.0
65033	41.3		10.4		4.0		428.6		800		25.0		54.5
65541	41.5		10.4		4.0		430.1		800		25.0		54.0
66049	41.3		10.4		4.0		428.9		800		25.0		54.5
66557	41.3		10.4		4.0		428.0		800		25.0		54.0
67065	41.3		10.4		4.0		428.0		800		25.0		53.5
67573	41.0		10.4		4.0		425.6		800		25.0		54.0
68081	41.3		10.4		4.0		428.6		800		25.0		54.5
68589	41.3		10.4		4.0		428.9		800		25.0		55.0
69097	41.3		10.4		4.0		428.3		800		25.0		54.5
69605	41.3		10.4		4.0		428.9		800		25.0		54.0
70113	41.3		10.4		4.0		428.3		800		25.0		54.5
70621	41.3		10.4		4.0		428.3		800		25.0		55.0
71129	41.3		10.4		4.0		428.6		800		25.0		55.5
71637	41.3		10.4		4.0		428.3		800		25.0		55.0
72145	41.3		10.4		4.0		428.0		800		25.0		55.5
72653	41.2		10.4		4.0		426.8		800		25.0		55.0
73161	41.2		10.4		4.0		427.4		800		25.0		54.5
73669	41.3		10.4		4.0		428.0		800		25.0		54.0
74177	41.3		10.4		4.0		428.3		800		25.0		53.5
74685	41.2		10.4		4.0		426.8		800		25.0		54.0
75193	41.5		10.4		4.0		430.1		800		25.0		54.5
75701	41.3		10.4		4.0		428.6		800		25.0		54.0
76209	41.3		10.4		4.0		428.6		800		25.0		53.5
76717	41.2		10.4		4.0		427.1		800		25.0		54.0
77225	41.3		10.4		4.0		428.6		800		25.0		54.5
77733	41.3		10.4		4.0		428.3		800		25.0		54.0
78241	41.5		10.4		4.0		429.8		800		25.0		53.5
78749	41.3		10.4		4.0		428.6		800		25.0		54.0
79257	41.2		10.4		4.0		426.8		800		25.0		53.5
79765	41.0		10.4		4.0		425.6		800		25.0		54.0
80273	41.2		10.4		4.0		426.5		800		25.0		54.5
80781	41.3		10.4		4.0		428.6		800		25.0		55.0
81289	41.3		10.4		4.0		428.3		800		25.0		54.5
81797	41.3		10.4		4.0		428.9		800		25.0		54.0
82305	41.3		10.4		4.0		428.3		800		25.0		54.5
82813	41.5		10.4		4.0		429.8		800		25.0		55.0
83321	41.5		10.4		4.0		429.8		800		25.0		55.5
83829	41.3		10.4		4.0		428.9		800		25.0		55.0
84337	41.3		10.4		4.0		428.9		800		25.0		54.5
84845	41.3		10.4		4.0		428.3		800		25.0		55.0
85353	41.2		10.4		4.0		426.9		800		25.0		54.5
85861	41.3		10.4		4.0		428.0		800		25.0		54.0
86369	41.5		10.4		4.0		429.8		800		25.0		53.5
86877	41.5		10.4		4.0		430.1		800		25.0		53.0
87385	41.5		10.4		4.0		429.8		800		25.0		53.5
