tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=95.0													
45986	42.5		9.9		4.3		420.9		800		25.0		95.0
load=95.0													
46497	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
47008	42.6		9.9		4.3		422.6		800		25.0		95.0
load=95.0													
47519	42.1		9.9		4.2		417.4		800		25.0		95.0
load=95.0													
48030	42.3		9.9		4.3		418.8		800		25.0		95.0
load=95.0													
48541	43.5		9.9		4.4		431.0		800		25.0		95.0
load=95.0													
49052	42.6		9.9		4.3		422.0		800		25.0		95.0
load=95.0													
49563	42.8		9.9		4.3		423.5		800		25.0		95.0
load=95.0													
50074	43.1		9.9		4.3		427.6		800		25.0		95.0
load=95.0													
50585	43.1		9.9		4.4		426.0		800		25.0		95.0
load=95.0													
51096	43.1		9.9		4.4		426.4		800		25.0		95.0
load=95.0													
51607	42.3		9.9		4.3		418.6		800		25.0		95.0
load=95.0													
52118	43.4		9.9		4.4		429.6		800		25.0		95.0
load=95.0													
52629	43.7		9.9		4.4		432.5		800		25.0		95.0
load=95.0													
53140	42.5		9.9		4.3		421.2		800		25.0		95.0
load=95.0													
53651	42.3		9.9		4.3		420.3		800		25.0		95.0
load=95.0													
54162	42.8		9.9		4.3		423.8		800		25.0		95.0
load=95.0													
54673	43.2		9.9		4.4		428.1		800		25.0		95.0
load=95.0													
55184	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
55695	42.1		9.9		4.2		416.8		800		25.0		95.0
load=95.0													
56206	42.8		9.9		4.3		423.5		800		25.0		95.0
load=95.0													
56717	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
57228	42.3		9.9		4.3		419.7		800		25.0		95.0
load=95.0													
57739	42.1		9.9		4.2		416.5		800		25.0		95.0
load=95.0													
58250	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
58761	43.1		9.9		4.4		425.7		800		25.0		95.0
load=95.0													
59272	42.1		9.9		4.2		416.8		800		25.0		95.0
load=95.0													
59783	42.8		9.9		4.3		423.5		800		25.0		95.0
load=95.0													
60294	42.5		9.9		4.3		419.9		800		25.0		95.0
load=95.0													
60805	42.9		9.9		4.3		425.7		800		25.0		95.0
load=95.0													
61316	41.6		9.9		4.2		412.8		800		25.0		95.0
load=95.0													
61827	42.2		9.9		4.3		418.3		800		25.0		95.0
load=95.0													
62338	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
62849	42.9		9.9		4.3		424.3		800		25.0		95.0
load=95.0													
63360	42.1		9.9		4.2		416.5		800		25.0		95.0
load=95.0													
63871	41.9		9.9		4.2		415.4		800		25.0		95.0
load=95.0													
64382	42.9		9.9		4.3		424.3		800		25.0		95.0
load=95.0													
64893	42.6		9.9		4.3		423.3		800		25.0		95.0
load=95.0													
65404	42.2		9.9		4.3		417.8		800		25.0		95.0
load=95.0													
65915	42.3		9.9		4.3		418.8		800		25.0		95.0
load=95.0													
66426	41.9		9.9		4.2		414.7		800		25.0		95.0
load=95.0													
66937	42.9		9.9		4.3		425.2		800		25.0		95.0
load=95.0													
67448	43.5		9.9		4.4		431.3		800		25.0		95.0
load=95.0													
67959	42.5		9.9		4.3		419.9		800		25.0		95.0
load=95.0													
68470	41.9		9.9		4.2		414.4		800		25.0		95.0
load=95.0													
68981	42.1		9.9		4.3		415.6		800		25.0		95.0
load=95.0													
69492	42.9		9.9		4.3		425.2		800		25.0		95.0
load=95.0													
