tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=52.5													
539	41.3		10.4		4.0		428.3		800		25.0		52.5
load=55.0													
2038	41.3		10.4		4.0		428.3		800		25.0		55.0
load=57.5													
2547	41.3		10.4		4.0		428.3		800		25.0		57.5
load=60.0													
3055	41.3		10.4		4.0		428.3		800		25.0		60.0
load=62.5													
3563	41.3		10.4		4.0		428.3		800		25.0		62.5
load=65.1													
4071	41.3		10.4		4.0		428.3		800		25.0		65.1
load=67.6													
4579	41.3		10.4		4.0		428.3		800		25.0		67.6
load=70.1													
5087	41.3		10.4		4.0		428.3		800		25.0		70.1
load=72.6													
5595	41.3		10.4		4.0		428.3		800		25.0		72.6
load=75.1													
6103	41.3		10.4		4.0		428.3		800		25.0		75.1
load=77.6													
6611	41.3		10.4		4.0		428.3		800		25.0		77.6
load=80.1													
7119	41.3		10.4		4.0		428.3		800		25.0		80.1
load=82.6													
7627	41.3		10.4		4.0		428.3		800		25.0		82.6
load=85.1													
8135	41.3		10.4		4.0		428.3		800		25.0		85.1
load=87.6													
8643	41.3		10.4		4.0		428.3		800		25.0		87.6
load=90.1													
9151	41.3		10.4		4.0		428.3		800		25.0		90.1
load=92.7													
9659	41.3		10.4		4.0		428.3		800		25.0		92.7
load=95.0													
10167	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
10675	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
11183	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
11691	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
12199	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
12707	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
13215	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
13723	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
14231	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
14739	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
15247	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
15755	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
16263	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
16771	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
17279	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
17787	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
18295	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
18803	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
19311	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
19819	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
20327	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
20835	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
21343	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
21851	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
22359	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
22867	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
23375	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
23883	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
24391	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
24899	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
25407	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
25915	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
26423	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
26931	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
27439	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
27947	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
28455	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
28963	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
29471	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
29979	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
30487	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
30995	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
31503	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
32011	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
32519	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
33027	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
33535	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
34043	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
34551	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
35059	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
35567	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
36075	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
36583	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
37091	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
37599	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
38107	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
38615	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
39123	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
39631	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
40139	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
40647	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
41155	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
41663	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
42171	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
42679	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
43187	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
43695	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
44203	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
44711	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
45219	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
45727	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
46235	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
46743	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
47251	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
47759	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
48267	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
48775	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
49283	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
49791	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
50299	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
50807	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
51315	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
51823	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
52331	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
52839	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
53347	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
53855	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
54363	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
54871	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
55379	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
55887	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
56395	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
56903	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
