tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=52.5													
539	41.3		10.4		4.0		428.3		800		25.0		52.5
load=55.0													
2037	41.3		10.4		4.0		428.3		800		25.0		55.0
load=57.5													
2546	41.3		10.4		4.0		428.3		800		25.0		57.5
load=60.0													
3054	41.3		10.4		4.0		428.3		800		25.0		60.0
load=62.5													
3562	41.3		10.4		4.0		428.3		800		25.0		62.5
load=65.1													
4070	41.3		10.4		4.0		428.3		800		25.0		65.1
load=67.6													
4578	41.3		10.4		4.0		428.3		800		25.0		67.6
load=70.1													
5086	41.3		10.4		4.0		428.3		800		25.0		70.1
load=72.6													
5594	41.3		10.4		4.0		428.3		800		25.0		72.6
load=75.1													
6102	41.3		10.4		4.0		428.3		800		25.0		75.1
load=77.6													
6610	41.3		10.4		4.0		428.3		800		25.0		77.6
load=80.1													
7118	41.3		10.4		4.0		428.3		800		25.0		80.1
load=82.6													
7626	41.3		10.4		4.0		428.3		800		25.0		82.6
load=85.1													
8134	41.3		10.4		4.0		428.3		800		25.0		85.1
load=87.6													
8642	41.3		10.4		4.0		428.3		800		25.0		87.6
load=90.1													
9150	41.3		10.4		4.0		428.3		800		25.0		90.1
load=92.7													
9658	41.3		10.4		4.0		428.3		800		25.0		92.7
load=95.0													
10166	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
10674	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
11182	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
11690	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
12198	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
12706	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
13214	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
13722	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
14230	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
14738	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
15246	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
15754	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
16262	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
16770	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
17278	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
17786	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
18294	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
18802	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
19310	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
19818	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
20326	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
20834	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
21342	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
21850	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
22358	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
22866	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
23374	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
23882	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
24390	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
24898	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
25406	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
25914	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
26422	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
26930	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
27438	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
27946	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
28454	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
28962	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
29470	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
29978	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
30486	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
30994	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
31502	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
32010	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
32518	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
33026	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
33534	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
34042	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
34550	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
35058	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
35566	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
36074	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
36582	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
37090	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
37598	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
38106	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
38614	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
39122	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
39630	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
40138	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
40646	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
41154	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
41662	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
42170	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
42678	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
43186	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
43694	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
44202	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
44710	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
45218	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
45726	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
46234	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
46742	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
47250	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
47758	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
48266	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
48774	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
49282	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
49790	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
50298	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
50806	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
51314	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
51822	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
52330	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
52838	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
53346	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
53854	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
54362	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
54870	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
55378	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
55886	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
56394	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
56902	41.3		10.4		4.0		428.3		800		25.0		95.0
load=95.0													
